,isim,yıl,süre,kategori,oy
409,Aladdin,1992,90,"Animation, Adventure, Comedy            ",8.0
410,District 9,2009,112,"Action, Sci-Fi, Thriller            ",7.9
411,Bridge of Spies,2015,142,"Drama, History, Thriller            ",7.6
412,Creed,2015,133,"Drama, Sport            ",7.6
413,Miracle in Cell No. 7,2019,132,Drama            ,8.2
414,In Bruges,2008,107,"Comedy, Crime, Drama            ",7.9
415,King Kong,1933,100,"Adventure, Horror, Sci-Fi            ",7.9
416,Halloween,1978,91,"Horror, Thriller            ",7.7
417,It's a Wonderful Life,1946,130,"Drama, Family, Fantasy            ",8.6
418,Cool Hand Luke,1967,127,"Crime, Drama            ",8.1
419,Being John Malkovich,1999,113,"Comedy, Drama, Fantasy            ",7.7
420,Rebecca,1940,130,"Drama, Mystery, Romance            ",8.1
421,Blazing Saddles,1974,93,"Comedy, Western            ",7.7
422,Soorarai Pottru,2020,153,Drama            ,8.6
423,Inherit the Wind,1960,128,"Biography, Drama, History            ",8.1
424,The Butterfly Effect,2004,113,"Drama, Sci-Fi, Thriller            ",7.6
425,Fried Green Tomatoes,1991,130,Drama            ,7.7
426,Serbuan maut,2011,101,"Action, Thriller            ",7.6
427,Papillon,1973,151,"Biography, Crime, Drama            ",8.0
428,The Machinist,2004,101,"Drama, Thriller            ",7.7
429,Rosemary's Baby,1968,137,"Drama, Horror            ",8.0
430,Toy Story 3,2010,103,"Animation, Adventure, Comedy            ",8.2
431,Moon,2009,97,"Drama, Mystery, Sci-Fi            ",7.9
432,The Fault in Our Stars,2014,126,"Drama, Romance            ",7.7
433,Life of Brian,1979,94,Comedy            ,8.1
434,El secreto de sus ojos,2009,129,"Drama, Mystery, Romance            ",8.2
435,Brazil,1985,132,"Drama, Sci-Fi            ",7.9
436,Y tu mamá también,2001,106,Drama            ,7.6
437,Boyhood,2014,165,Drama            ,7.9
438,Dog Day Afternoon,1975,125,"Biography, Crime, Drama            ",8.0
439,Searching,2018,102,"Drama, Mystery, Thriller            ",7.6
440,3:10 to Yuma,2007,122,"Action, Crime, Drama            ",7.7
441,The Naked Gun: From the Files of Police Squad!,1988,85,"Comedy, Crime            ",7.6
442,Beauty and the Beast,1991,84,"Animation, Family, Fantasy            ",8.0
443,Butch Cassidy and the Sundance Kid,1969,110,"Biography, Crime, Drama            ",8.0
444,Planet of the Apes,1968,112,"Adventure, Sci-Fi            ",8.0
445,Isle of Dogs,2018,101,"Animation, Adventure, Comedy            ",7.9
446,The Maltese Falcon,1941,100,"Crime, Film-Noir, Mystery            ",8.0
447,The Fighter,2010,116,"Biography, Drama, Sport            ",7.8
448,Koe no katachi,2016,130,"Animation, Drama, Family            ",8.1
449,Midnight Cowboy,1969,113,Drama            ,7.8
450,Mad Max 2,1981,96,"Action, Adventure, Sci-Fi            ",7.6
451,Philadelphia,1993,125,Drama            ,7.7
452,The Boondock Saints,1999,108,"Action, Crime, Thriller            ",7.8
453,This Is England,2006,101,"Crime, Drama            ",7.7
454,Road to Perdition,2002,117,"Crime, Drama, Thriller            ",7.7
455,Tonari no Totoro,1988,86,"Animation, Family, Fantasy            ",8.2
456,Dangal,2016,161,"Action, Biography, Drama            ",8.4
457,"Paris, Texas",1984,145,Drama            ,8.1
458,Walk the Line,2005,136,"Biography, Drama, Music            ",7.8
459,The Color Purple,1985,154,Drama            ,7.8
460,The Boy in the Striped Pyjamas,2008,94,"Drama, History, War            ",7.8
461,Barry Lyndon,1975,185,"Adventure, Drama, History            ",8.1
462,This Is Spinal Tap,1984,82,"Comedy, Music            ",7.9
463,Stagecoach,1939,96,"Adventure, Drama, Western            ",7.8
464,Flipped,2010,90,"Comedy, Drama, Romance            ",7.7
465,Singin' in the Rain,1952,103,"Comedy, Musical, Romance            ",8.3
466,Stalker,1979,162,"Drama, Sci-Fi            ",8.2
467,Blow,2001,124,"Biography, Crime, Drama            ",7.6
468,Dark City,1998,100,"Fantasy, Mystery, Sci-Fi            ",7.6
469,The Wrestler,2008,109,"Drama, Sport            ",7.9
470,Awakenings,1990,121,"Biography, Drama            ",7.8
471,High Noon,1952,85,"Drama, Thriller, Western            ",7.9
472,Wreck-It Ralph,2012,101,"Animation, Adventure, Comedy            ",7.7
473,The Remains of the Day,1993,134,"Drama, Romance            ",7.8
474,The Great Escape,1963,172,"Adventure, Drama, History            ",8.2
475,Donnie Brasco,1997,127,"Biography, Crime, Drama            ",7.7
476,Match Point,2005,124,"Drama, Romance, Thriller            ",7.6
477,Sling Blade,1996,135,Drama            ,8.0
478,Glory,1989,122,"Biography, Drama, History            ",7.8
479,Nuovo Cinema Paradiso,1988,155,"Drama, Romance            ",8.5
480,Adaptation.,2002,115,"Comedy, Drama            ",7.7
481,Un prophète,2009,155,"Crime, Drama            ",7.9
482,Sunset Blvd.,1950,110,"Drama, Film-Noir            ",8.4
483,The Conversation,1974,113,"Drama, Mystery, Thriller            ",7.8
484,Rushmore,1998,93,"Comedy, Drama, Romance            ",7.7
485,The Lego Movie,2014,100,"Animation, Action, Adventure            ",7.7
486,Clerks,1994,92,Comedy            ,7.7
487,Close Encounters of the Third Kind,1977,138,"Drama, Sci-Fi            ",7.6
488,The Birds,1963,119,"Drama, Horror, Mystery            ",7.7
489,Empire of the Sun,1987,153,"Action, Drama, History            ",7.7
490,Akira,1988,124,"Animation, Action, Sci-Fi            ",8.0
491,Die Hard: With a Vengeance,1995,128,"Action, Adventure, Thriller            ",7.6
492,Hachi: A Dog's Tale,2009,93,"Biography, Drama, Family            ",8.1
493,Pâfekuto burû,1997,81,"Animation, Crime, Mystery            ",8.0
494,The Right Stuff,1983,193,"Adventure, Biography, Drama            ",7.8
495,Det sjunde inseglet,1957,96,"Drama, Fantasy, History            ",8.2
496,Dawn of the Planet of the Apes,2014,130,"Action, Adventure, Drama            ",7.6
497,Toy Story 2,1999,92,"Animation, Adventure, Comedy            ",7.9
498,Relatos salvajes,2014,122,"Comedy, Drama, Thriller            ",8.1
499,Bonnie and Clyde,1967,111,"Action, Biography, Crime            ",7.8
500,North by Northwest,1959,136,"Adventure, Mystery, Thriller            ",8.3
501,The Illusionist,2006,110,"Drama, Fantasy, Mystery            ",7.6
502,Kramer vs. Kramer,1979,105,Drama            ,7.8
503,Roma,2018,135,Drama            ,7.7
504,JFK,1991,189,"Drama, History, Thriller            ",8.0
505,Blood Simple,1984,99,"Crime, Drama, Thriller            ",7.6
506,Män som hatar kvinnor,2009,152,"Crime, Drama, Mystery            ",7.8
507,Only the Brave,2017,134,"Action, Biography, Drama            ",7.6
508,After Hours,1985,97,"Comedy, Crime, Drama            ",7.7
509,Good Bye Lenin!,2003,121,"Comedy, Drama, Romance            ",7.7
510,Who's Afraid of Virginia Woolf?,1966,131,Drama            ,8.0
511,Das Boot,1981,149,"Adventure, Drama, Thriller            ",8.3
512,Amores perros,2000,154,"Drama, Thriller            ",8.1
513,The Apartment,1960,125,"Comedy, Drama, Romance            ",8.3
514,Dawn of the Dead,1978,127,"Horror, Thriller            ",7.9
515,Spartacus,1960,197,"Adventure, Biography, Drama            ",7.9
516,Goldfinger,1964,110,"Action, Adventure, Thriller            ",7.7
517,Lost Highway,1997,134,"Mystery, Thriller            ",7.6
518,The Jungle Book,1967,78,"Animation, Adventure, Family            ",7.6
519,Kôkaku Kidôtai,1995,83,"Animation, Action, Crime            ",8.0
520,Ran,1985,162,"Action, Drama, War            ",8.2
521,Before Sunset,2004,80,"Drama, Romance            ",8.1
522,When Harry Met Sally...,1989,95,"Comedy, Drama, Romance            ",7.6
523,Detachment,2011,98,Drama            ,7.7
524,Metropolis,1927,153,"Drama, Sci-Fi            ",8.3
525,The Manchurian Candidate,1962,126,"Drama, Thriller            ",7.9
526,Der Name der Rose,1986,130,"Crime, Drama, Mystery            ",7.7
527,Dirty Harry,1971,102,"Action, Crime, Thriller            ",7.7
528,A Streetcar Named Desire,1951,122,Drama            ,8.0
529,Annie Hall,1977,93,"Comedy, Romance            ",8.0
530,"Synecdoche, New York",2008,124,Drama            ,7.6
531,Batoru rowaiaru,2000,114,"Action, Adventure, Drama            ",7.6
532,Doctor Zhivago,1965,197,"Drama, Romance, War            ",8.0
533,Per un pugno di dollari,1964,99,"Action, Drama, Western            ",8.0
534,La haine,1995,98,"Crime, Drama            ",8.1
535,Roman Holiday,1953,118,"Comedy, Romance            ",8.0
536,La piel que habito,2011,120,"Drama, Horror, Thriller            ",7.6
537,Festen,1998,105,Drama            ,8.0
538,La montaña sagrada,1973,114,"Adventure, Drama, Fantasy            ",7.9
539,God's Own Country,2017,104,"Drama, Romance            ",7.7
540,Dogville,2003,178,"Crime, Drama            ",8.0
541,The Third Man,1949,104,"Film-Noir, Mystery, Thriller            ",8.1
542,Per qualche dollaro in più,1965,132,Western            ,8.2
543,Gandhi,1982,191,"Biography, Drama, History            ",8.0
544,Ratsasan,2018,170,"Action, Crime, Thriller            ",8.5
545,Bound by Honor,1993,180,"Crime, Drama            ",8.0
546,Ray,2004,152,"Biography, Drama, Music            ",7.7
547,Solaris,1972,167,"Drama, Mystery, Sci-Fi            ",8.1
548,8½,1963,138,Drama            ,8.0
549,Sing Street,2016,106,"Comedy, Drama, Music            ",7.9
550,The Dirty Dozen,1967,150,"Action, Adventure, War            ",7.7
551,Do lok tin si,1995,99,"Comedy, Crime, Drama            ",7.7
552,Enemy at the Gates,2001,131,"Drama, History, War            ",7.6
553,Kung fu,2004,99,"Action, Comedy, Fantasy            ",7.7
554,The Last King of Scotland,2006,123,"Biography, Drama, History            ",7.7
555,I Am Sam,2001,132,Drama            ,7.7
556,Network,1976,121,Drama            ,8.1
557,La migliore offerta,2013,131,"Crime, Drama, Mystery            ",7.8
558,The Insider,1999,157,"Biography, Drama, Thriller            ",7.8
559,The Searchers,1956,119,"Adventure, Drama, Western            ",7.9
560,Tumbbad,2018,104,"Drama, Fantasy, Horror            ",8.3
561,The Iron Giant,1999,86,"Animation, Action, Adventure            ",8.0
562,Fiddler on the Roof,1971,181,"Drama, Family, Musical            ",8.0
563,Being There,1979,130,"Comedy, Drama            ",8.0
564,Gake no ue no Ponyo,2008,101,"Animation, Adventure, Comedy            ",7.7
565,Seppuku,1962,133,"Action, Drama, Mystery            ",8.6
566,Before Midnight,2013,109,"Drama, Romance            ",7.9
567,Ed Wood,1994,127,"Biography, Comedy, Drama            ",7.8
568,Jodaeiye Nader az Simin,2011,123,Drama            ,8.3
569,Night of the Living Dead,1968,96,"Horror, Thriller            ",7.9
570,La grande bellezza,2013,141,Drama            ,7.8
571,Hotel Rwanda,2004,121,"Biography, Drama, History            ",8.1
572,Loving Vincent,2017,94,"Animation, Biography, Crime            ",7.8
573,Charade,1963,113,"Comedy, Mystery, Romance            ",7.9
574,The Bridge on the River Kwai,1957,161,"Adventure, Drama, War            ",8.1
575,The King of Comedy,1982,109,"Comedy, Crime, Drama            ",7.8
576,The Man from Earth,2007,87,"Drama, Fantasy, Mystery            ",7.9
577,How to Train Your Dragon 2,2014,102,"Animation, Action, Adventure            ",7.8
578,Naked,1993,132,"Comedy, Drama            ",7.8
579,The Last Emperor,1987,163,"Biography, Drama, History            ",7.7
580,It Happened One Night,1934,105,"Comedy, Romance            ",8.1
581,Ordinary People,1980,124,Drama            ,7.7
582,The French Connection,1971,104,"Action, Crime, Drama            ",7.7
583,Togo,2019,113,"Adventure, Biography, Drama            ",8.0
584,Funny Games,1997,108,"Crime, Drama, Thriller            ",7.6
585,Star Trek II: The Wrath of Khan,1982,113,"Action, Adventure, Sci-Fi            ",7.7
586,Days of Heaven,1978,94,"Drama, Romance            ",7.8
587,Billy Elliot,2000,110,"Drama, Music            ",7.7
588,Giant,1956,201,"Drama, Western            ",7.6
589,The Artist,2011,100,"Comedy, Drama, Romance            ",7.9
590,On the Waterfront,1954,108,"Crime, Drama, Thriller            ",8.1
591,Kaze no tani no Naushika,1984,117,"Animation, Adventure, Fantasy            ",8.1
592,Lord of War,2005,122,"Action, Crime, Drama            ",7.6
593,50/50,2011,100,"Comedy, Drama, Romance            ",7.6
594,Majo no takkyûbin,1989,103,"Animation, Adventure, Drama            ",7.8
595,Malcolm X,1992,202,"Biography, Drama, History            ",7.7
596,All the President's Men,1976,138,"Biography, Drama, History            ",7.9
597,"Planes, Trains & Automobiles",1987,93,"Comedy, Drama            ",7.6
598,Miller's Crossing,1990,115,"Crime, Drama, Thriller            ",7.7
599,Philomena,2013,98,"Biography, Comedy, Drama            ",7.6
600,Zerkalo,1975,107,"Biography, Drama            ",8.1
601,The Nightmare Before Christmas,1993,76,"Animation, Family, Fantasy            ",8.0
602,The Fall,2006,117,"Adventure, Drama, Fantasy            ",7.9
603,Rio Bravo,1959,141,"Action, Drama, Western            ",8.0
604,Persona,1966,85,"Drama, Thriller            ",8.1
605,The Day of the Jackal,1973,143,"Crime, Drama, Thriller            ",7.8
606,Changeling,2008,141,"Biography, Crime, Drama            ",7.7
607,What Ever Happened to Baby Jane?,1962,134,"Drama, Horror, Thriller            ",8.1
608,The Longest Day,1962,178,"Action, Drama, History            ",7.8
609,Seven Pounds,2008,123,Drama            ,7.6
610,Serbuan maut 2: Berandal,2014,150,"Action, Crime, Thriller            ",8.0
611,M - Eine Stadt sucht einen Mörder,1931,117,"Crime, Mystery, Thriller            ",8.3
612,Pink Floyd: The Wall,1982,95,"Drama, Fantasy, Music            ",8.1
613,Ying xiong,2002,120,"Action, Adventure, History            ",7.9
614,Dancer in the Dark,2000,140,"Crime, Drama, Musical            ",8.0
615,Klaus,2019,96,"Animation, Adventure, Comedy            ",8.2
616,Paddington 2,2017,103,"Animation, Adventure, Comedy            ",7.8
617,Manhattan,1979,96,"Comedy, Drama, Romance            ",7.9
618,Finding Neverland,2004,106,"Biography, Drama, Family            ",7.6
619,Mississippi Burning,1988,128,"Crime, Drama, History            ",7.8
620,El cuerpo,2012,112,"Mystery, Thriller            ",7.6
621,Evil Dead II,1987,84,"Comedy, Horror            ",7.8
622,Nebraska,2013,115,"Adventure, Comedy, Drama            ",7.7
623,Låt den rätte komma in,2008,114,"Crime, Drama, Fantasy            ",7.9
624,The Outlaw Josey Wales,1976,135,Western            ,7.8
625,Me and Earl and the Dying Girl,2015,105,"Comedy, Drama            ",7.7
626,Paths of Glory,1957,88,"Drama, War            ",8.4
627,Rebel Without a Cause,1955,111,Drama            ,7.7
628,The Wild Bunch,1969,145,"Action, Adventure, Western            ",7.9
629,Guess Who's Coming to Dinner,1967,108,"Comedy, Drama            ",7.8
630,Badlands,1973,94,"Action, Crime, Drama            ",7.8
631,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87,"Animation, Action, Drama            ",8.1
632,The Straight Story,1999,112,"Biography, Drama            ",8.0
633,Serpico,1973,130,"Biography, Crime, Drama            ",7.7
634,October Sky,1999,108,"Biography, Drama, Family            ",7.8
635,Andhadhun,2018,139,"Crime, Drama, Music            ",8.2
636,Glengarry Glen Ross,1992,100,"Crime, Drama, Mystery            ",7.7
637,Breaking the Waves,1996,159,Drama            ,7.8
638,Manbiki kazoku,2018,121,"Crime, Drama            ",7.9
639,Enter the Dragon,1973,102,"Action, Crime, Drama            ",7.7
640,Kelly's Heroes,1970,144,"Adventure, Comedy, War            ",7.6
641,Cabaret,1972,124,"Drama, Music, Musical            ",7.8
642,All About Eve,1950,138,Drama            ,8.2
643,La Strada,1954,108,Drama            ,8.0
644,The Bridges of Madison County,1995,135,"Drama, Romance            ",7.6
645,From Here to Eternity,1953,118,"Drama, Romance, War            ",7.6
646,Witness for the Prosecution,1957,116,"Crime, Drama, Mystery            ",8.4
647,Kaze tachinu,2013,126,"Animation, Biography, Drama            ",7.8
648,Taare Zameen Par,2007,165,"Drama, Family            ",8.4
649,The Quiet Man,1952,129,"Comedy, Drama, Romance            ",7.7
650,The Hustler,1961,134,"Drama, Sport            ",8.0
651,Freaks,1932,64,"Drama, Horror            ",7.9
652,Notorious,1946,102,"Drama, Film-Noir, Romance            ",7.9
653,All That Jazz,1979,123,"Drama, Music, Musical            ",7.9
654,En man som heter Ove,2015,116,"Comedy, Drama, Romance            ",7.7
655,Short Term 12,2013,96,Drama            ,8.0
656,Madeo,2009,129,"Crime, Drama, Mystery            ",7.8
657,Mommy,2014,139,Drama            ,8.1
658,Secrets & Lies,1996,136,"Comedy, Drama            ",8.0
659,Modern Times,1936,87,"Comedy, Drama, Family            ",8.5
660,Tenkû no shiro Rapyuta,1986,125,"Animation, Adventure, Drama            ",8.0
661,21 Grams,2003,124,"Crime, Drama, Thriller            ",7.6
662,Harvey,1950,104,"Comedy, Drama, Fantasy            ",7.9
663,Abre los ojos,1997,119,"Drama, Mystery, Sci-Fi            ",7.7
664,My Left Foot: The Story of Christy Brown,1989,103,"Biography, Drama            ",7.9
665,Watership Down,1978,91,"Animation, Adventure, Drama            ",7.6
666,Beasts of No Nation,2015,137,"Drama, War            ",7.7
667,The Killing Fields,1984,141,"Biography, Drama, History            ",7.8
668,La dolce vita,1960,174,"Comedy, Drama            ",8.0
669,Sabrina,1954,113,"Comedy, Drama, Romance            ",7.7
670,Cinderella Man,2005,144,"Biography, Drama, History            ",8.0
671,Double Indemnity,1944,107,"Crime, Drama, Film-Noir            ",8.3
672,Yip Man,2008,106,"Action, Biography, Drama            ",8.0
673,Barton Fink,1991,116,"Comedy, Drama, Thriller            ",7.7
674,The Great Dictator,1940,125,"Comedy, Drama, War            ",8.4
675,Bãhubali: The Beginning,2015,159,"Action, Drama            ",8.0
676,Nosferatu,1922,94,"Fantasy, Horror            ",7.9
677,A Christmas Story,1983,93,"Comedy, Family            ",7.9
678,The Man Who Shot Liberty Valance,1962,123,"Drama, Western            ",8.1
679,Victoria,2015,138,"Crime, Drama, Romance            ",7.6
680,Lucky Number Slevin,2006,110,"Crime, Drama, Thriller            ",7.7
681,Zwartboek,2006,145,"Drama, Thriller, War            ",7.7
682,Harold and Maude,1971,91,"Comedy, Drama, Romance            ",7.9
683,Gaslight,1944,114,"Crime, Drama, Mystery            ",7.8
684,Kari-gurashi no Arietti,2010,94,"Animation, Adventure, Family            ",7.6
685,Rope,1948,80,"Crime, Drama, Mystery            ",8.0
686,Happiness,1998,134,"Comedy, Drama            ",7.7
687,Hamlet,1996,242,Drama            ,7.7
688,Der Himmel über Berlin,1987,128,"Drama, Fantasy, Romance            ",8.0
689,Ajeossi,2010,119,"Action, Crime, Drama            ",7.8
690,À bout de souffle,1960,90,"Crime, Drama            ",7.8
691,Paper Moon,1973,102,"Comedy, Crime, Drama            ",8.1
692,Gangs of Wasseypur,2012,321,"Action, Comedy, Crime            ",8.2
693,Escape from Alcatraz,1979,112,"Action, Biography, Crime            ",7.6
694,25th Hour,2002,135,Drama            ,7.6
695,Under sandet,2015,100,"Drama, History, War            ",7.8
696,East of Eden,1955,118,Drama            ,7.9
697,The Innocents,1961,100,Horror            ,7.8
698,Dial M for Murder,1954,105,"Crime, Thriller            ",8.2
699,Dara iz Jasenovca,2020,130,"Drama, War            ",8.3
700,Rashomon,1950,88,"Crime, Drama, Mystery            ",8.2
701,The Lion in Winter,1968,134,"Biography, Drama, History            ",7.9
702,Amour,2012,127,Drama            ,7.9
703,The African Queen,1951,105,"Adventure, Drama, Romance            ",7.7
704,Fantasia,1940,125,"Animation, Family, Fantasy            ",7.7
705,On Golden Pond,1981,109,Drama            ,7.6
706,Papurika,2006,90,"Animation, Drama, Fantasy            ",7.7
707,PK,2014,153,"Comedy, Drama, Musical            ",8.1
708,Mary and Max,2009,92,"Animation, Comedy, Drama            ",8.1
709,The Verdict,1982,129,Drama            ,7.7
710,Les quatre cents coups,1959,99,"Crime, Drama            ",8.1
711,Song of the Sea,2014,93,"Animation, Adventure, Drama            ",8.1
712,Dead Man,1995,121,"Adventure, Drama, Fantasy            ",7.6
713,Yojinbo,1961,110,"Action, Drama, Thriller            ",8.2
714,Trois couleurs: Bleu,1993,94,"Drama, Music, Mystery            ",7.9
715,The Man Who Would Be King,1975,129,"Adventure, History, War            ",7.8
716,The Philadelphia Story,1940,112,"Comedy, Romance            ",7.9
717,Kubo and the Two Strings,2016,101,"Animation, Action, Adventure            ",7.8
718,Belle de jour,1967,100,"Drama, Romance            ",7.7
719,La planète sauvage,1973,72,"Animation, Sci-Fi            ",7.8
720,Pink,2016,136,"Drama, Thriller            ",8.1
721,Patton,1970,172,"Biography, Drama, War            ",7.9
722,The Night of the Hunter,1955,92,"Crime, Drama, Film-Noir            ",8.0
723,Mimi wo sumaseba,1995,111,"Animation, Drama, Family            ",7.9
724,The Day the Earth Stood Still,1951,92,"Drama, Sci-Fi            ",7.7
725,A Little Princess,1995,97,"Drama, Family, Fantasy            ",7.7
726,Letters from Iwo Jima,2006,141,"Action, Adventure, Drama            ",7.9
727,Todo sobre mi madre,1999,101,Drama            ,7.8
728,The Muppet Movie,1979,95,"Adventure, Comedy, Family            ",7.6
729,Drishyam,2015,163,"Crime, Drama, Mystery            ",8.2
730,Cat on a Hot Tin Roof,1958,108,Drama            ,8.0
731,Lola rennt,1998,81,"Crime, Drama, Thriller            ",7.6
732,Withnail & I,1987,107,"Comedy, Drama            ",7.7
733,Pride,2014,119,"Biography, Comedy, Drama            ",7.8
734,Frankenstein,1931,70,"Drama, Horror, Sci-Fi            ",7.8
735,The Message,1976,177,"Biography, Drama, History            ",8.2
736,The Treasure of the Sierra Madre,1948,126,"Adventure, Drama, Western            ",8.2
737,Adams æbler,2005,94,"Comedy, Crime, Drama            ",7.8
738,Short Cuts,1993,188,"Comedy, Drama            ",7.7
739,Once,2007,86,"Drama, Music, Romance            ",7.8
740,Dom za vesanje,1988,142,"Comedy, Crime, Drama            ",8.2
741,La Vie En Rose,2007,140,"Biography, Drama, Music            ",7.6
742,Hannah and Her Sisters,1986,107,"Comedy, Drama            ",7.9
743,Bom yeoreum gaeul gyeoul geurigo bom,2003,103,"Drama, Romance            ",8.0
744,Ladri di biciclette,1948,89,Drama            ,8.3
745,Fanny och Alexander,1982,188,Drama            ,8.1
746,La double vie de Véronique,1991,98,"Drama, Fantasy, Music            ",7.8
747,Die Welle,2008,107,"Drama, Thriller            ",7.6
748,Kurenai no buta,1992,94,"Animation, Adventure, Comedy            ",7.7
749,City Lights,1931,87,"Comedy, Drama, Romance            ",8.5
750,Chugyeokja,2008,125,"Action, Crime, Thriller            ",7.8
751,The Killing,1956,84,"Crime, Drama, Film-Noir            ",8.0
752,Anatomy of a Murder,1959,161,"Crime, Drama, Mystery            ",8.0
753,Tengoku to jigoku,1963,143,"Crime, Drama, Mystery            ",8.4
754,Mysterious Skin,2004,105,Drama            ,7.6
755,Bringing Up Baby,1938,102,"Comedy, Family, Romance            ",7.8
756,Le locataire,1976,126,"Drama, Thriller            ",7.7
757,Touch of Evil,1958,95,"Crime, Drama, Film-Noir            ",8.0
758,Le scaphandre et le papillon,2007,112,"Biography, Drama            ",8.0
759,The Grapes of Wrath,1940,129,"Drama, History            ",8.0
760,Mandariinid,2013,87,"Drama, War            ",8.2
761,"Aguirre, der Zorn Gottes",1972,95,"Action, Adventure, Biography            ",7.9
762,Waking Life,2001,99,"Animation, Drama, Fantasy            ",7.8
763,"South Park: Bigger, Longer & Uncut",1999,81,"Animation, Comedy, Fantasy            ",7.7
764,The Kid,1921,68,"Comedy, Drama, Family            ",8.3
765,Zulu,1964,138,"Drama, History, War            ",7.7
766,All Quiet on the Western Front,1930,152,"Drama, War            ",8.0
767,Mou gaan dou,2002,101,"Action, Crime, Drama            ",8.0
768,The Secret of Kells,2009,71,"Animation, Adventure, Family            ",7.6
769,Bacheha-Ye aseman,1997,89,"Drama, Family, Sport            ",8.3
770,Strangers on a Train,1951,101,"Crime, Film-Noir, Thriller            ",7.9
771,Ikiru,1952,143,Drama            ,8.3
772,To Have and Have Not,1944,100,"Adventure, Comedy, Film-Noir            ",7.8
773,Perfetti sconosciuti,2016,96,"Comedy, Drama            ",7.8
774,A Hard Day's Night,1964,87,"Comedy, Musical            ",7.6
775,Trois couleurs: Rouge,1994,99,"Drama, Mystery, Romance            ",8.1
776,The Best Years of Our Lives,1946,170,"Drama, Romance, War            ",8.0
777,The World's Fastest Indian,2005,127,"Biography, Drama, Sport            ",7.8
778,The Big Sleep,1946,114,"Crime, Film-Noir, Mystery            ",7.9
779,Leviafan,2014,140,"Crime, Drama            ",7.6
780,His Girl Friday,1940,92,"Comedy, Drama, Romance            ",7.9
781,Un long dimanche de fiançailles,2004,133,"Drama, Mystery, Romance            ",7.6
782,Invasion of the Body Snatchers,1956,80,"Drama, Horror, Sci-Fi            ",7.7
783,Gegen die Wand,2004,121,"Drama, Romance            ",7.9
784,The Adventures of Robin Hood,1938,102,"Action, Adventure, Romance            ",7.9
785,Nelyubov,2017,127,Drama            ,7.6
786,Sacrifice,1986,149,Drama            ,8.1
787,The Long Goodbye,1973,112,"Comedy, Crime, Drama            ",7.6
788,Omoide no Mânî,2014,103,"Animation, Drama, Family            ",7.7
789,Boksuneun naui geot,2002,129,"Crime, Drama, Thriller            ",7.6
790,Mr. Smith Goes to Washington,1939,129,"Comedy, Drama            ",8.1
791,Jûbê ninpûchô,1993,94,"Animation, Action, Adventure            ",7.9
792,Andrei Rublev,1966,205,"Biography, Drama, History            ",8.1
793,Giù la testa,1971,157,"Drama, War, Western            ",7.6
794,Batman: Mask of the Phantasm,1993,76,"Animation, Action, Crime            ",7.8
795,Hable con ella,2002,112,"Drama, Mystery, Romance            ",7.9
796,Fitzcarraldo,1982,158,"Adventure, Drama            ",8.1
797,Kaguyahime no monogatari,2013,137,"Animation, Adventure, Drama            ",8.0
798,Dead Man's Shoes,2004,90,"Crime, Drama, Thriller            ",7.6
799,Le Petit Prince,2015,108,"Animation, Adventure, Drama            ",7.7
800,Frost/Nixon,2008,122,"Biography, Drama, History            ",7.7
801,Control,2007,122,"Biography, Drama, Music            ",7.7
802,La battaglia di Algeri,1966,121,"Drama, War            ",8.1
803,Underground,1995,170,"Comedy, Drama, Fantasy            ",8.1
804,Death Note: Desu nôto,2006,126,"Crime, Drama, Fantasy            ",7.7
805,Bride of Frankenstein,1935,75,"Drama, Horror, Sci-Fi            ",7.8
806,Kis Uykusu,2014,196,Drama            ,8.1
807,Zindagi Na Milegi Dobara,2011,155,"Comedy, Drama            ",8.2
808,The Station Agent,2003,89,"Comedy, Drama            ",7.6
809,Spoorloos,1988,107,"Mystery, Thriller            ",7.7
810,"Swades: We, the People",2004,210,Drama            ,8.2
811,Les yeux sans visage,1960,90,"Drama, Horror            ",7.7
812,The Odd Couple,1968,105,Comedy            ,7.7
813,Once Were Warriors,1994,102,"Crime, Drama            ",7.9
814,Repulsion,1965,105,"Drama, Horror, Thriller            ",7.7
815,Kagemusha,1980,180,"Drama, History, War            ",8.0
816,La leggenda del pianista sull'oceano,1998,169,"Drama, Music, Romance            ",8.1
817,Hedwig and the Angry Inch,2001,95,"Comedy, Drama, Music            ",7.7
818,Höstsonaten,1978,99,"Drama, Music            ",8.2
819,Das Cabinet des Dr. Caligari,1920,76,"Fantasy, Horror, Mystery            ",8.1
820,Smultronstället,1957,91,"Drama, Romance            ",8.2
821,Night on Earth,1991,129,"Comedy, Drama            ",7.8
822,The 39 Steps,1935,86,"Crime, Mystery, Thriller            ",7.6
823,Le samouraï,1967,105,"Crime, Drama, Mystery            ",8.1
824,Drishyam,2013,160,"Crime, Drama, Thriller            ",8.3
825,Das weiße Band - Eine deutsche Kindergeschichte,2009,144,"Drama, History, Mystery            ",7.8
826,Diarios de motocicleta,2004,126,"Adventure, Biography, Drama            ",7.8
827,"I, Daniel Blake",2016,100,Drama            ,7.9
828,Forushande,2016,124,Drama            ,7.8
829,Shadow of a Doubt,1943,108,"Film-Noir, Thriller            ",7.8
830,Bin-jip,2004,88,"Crime, Drama, Romance            ",8.0
831,Stalag 17,1953,120,"Comedy, Drama, War            ",8.0
